"tipoentidad","codigoentidad","nombreentidad","fechacorte","unidad_de_captura","nombre","tipo","subcuenta","nombre_sub","tasaefectivaanual","montos","num_creditos_desembolsados"
"4","108","Iris Cf","2013-05-31T00:00:00.000","11","CREDITOS COMERCIALES","ORDINARIO","10","ENTRE 31 Y 365 DIAS","18.49","4817425.46","11"
"1","59","Banco Santander","2017-06-30T00:00:00.000","11","CREDITOS COMERCIALES","ORDINARIO","20","ENTRE 366 Y 1095 DIAS","8.97","2000000","1"
"1","30","Banco Caja Social","2010-01-08T00:00:00.000","11","CREDITOS COMERCIALES","PREFERENCIAL O CORPORATIVO","60","ENTRE 366 Y 1095 DIAS","7.67","1000000","0"
"1","43","Banagrario","2016-09-23T00:00:00.000","11","CREDITOS COMERCIALES","DE TESORERIA","110","ENTRE 15 Y 30 DIAS","13.24","59800","1"
"1","49","Av Villas","2022-02-18T00:00:00.000","11","CREDITOS COMERCIALES","PREFERENCIAL O CORPORATIVO","70","ENTRE 1096 Y 1825 DIAS","7.55","4173830","9"
"1","62","Mibanco S.A.","2021-10-29T00:00:00.000","11","CREDITOS COMERCIALES","ORDINARIO","10","ENTRE 31 Y 365 DIAS","25.57","93950","8"
"32","3","Coofinep Cooperativa Financiera","2008-03-14T00:00:00.000","11","CREDITOS COMERCIALES","ORDINARIO","20","ENTRE 366 Y 1095 DIAS","18.21","50000","0"
"1","36","Bankboston S.A.  En Liquidación","2002-10-25T00:00:00.000","11","CREDITOS COMERCIALES","DE TESORERIA","110","ENTRE 15 Y 30 DIAS","7.24","1000000","0"
"1","49","Av Villas","2007-11-02T00:00:00.000","14","DEPOSITOS Y CUENTAS DE AHORRO","DEPOSITOS Y CUENTAS DE AHORRO","40","CTAS AHORRO AFC EN PESOS","1.5","7541348.82","0"
"4","46","Coltefinanciera","2003-11-07T00:00:00.000","11","CREDITOS COMERCIALES","ORDINARIO","10","ENTRE 31 Y 365 DIAS","17.77","4179152","0"
"1","2","Banco Popular","2005-07-01T00:00:00.000","8","CREDITOS DE VIVIENDA","CREDITOS DE VIVIENDA ADQUISICIÓN","12","ADQ VIVIENDA DIFERENTE VIS (PESOS)","16.08","40927","0"
"4","13","Inversora Pichincha S.A. Compañía De Financiamiento","2007-07-13T00:00:00.000","9","CREDITOS DE CONSUMO","CREDITOS DE CONSUMO","40","A MAS DE 1825 DIAS","22.15","382080","0"
