"tipoentidad","codigoentidad","nombreentidad","fechacorte","unidad_de_captura","nombre","tipo","subcuenta","nombre_sub","tasaefectivaanual","montos","num_creditos_desembolsados"
"1","57","Banco Pichincha S.A.","2013-12-13T00:00:00.000","11","CREDITOS COMERCIALES","ORDINARIO","30","ENTRE 1096 Y 1825 DIAS","6.7","1772291","9"
"22","8","Fondo Nacional Del Ahorro","2017-08-18T00:00:00.000","9","CREDITOS DE CONSUMO","CREDITOS DE CONSUMO","10","ENTRE 31 Y 365 DIAS","12.66","18172.9","3"
"4","46","Coltefinanciera","2015-09-04T00:00:00.000","11","CREDITOS COMERCIALES","DE TESORERIA","110","ENTRE 15 Y 30 DIAS","15.09","1333137.06","2"
"1","30","Banco Caja Social","2020-11-13T00:00:00.000","11","CREDITOS COMERCIALES","PREFERENCIAL O CORPORATIVO","50","ENTRE 31 Y 365 DIAS","3.73","3581715.27","8"
"1","57","Banco Pichincha S.A.","2018-09-28T00:00:00.000","12","OTRAS MODALIDADES DE CREDITO","TARJETAS DE CREDITO EMPRESARIALES","90","CONSUMOS ENTRE 7 Y 12 M","28.17","4674","6"
"1","23","Banco De Occidente","2012-08-31T00:00:00.000","11","CREDITOS COMERCIALES","ORDINARIO","30","ENTRE 1096 Y 1825 DIAS","11.67","38680798","159"
"1","2","Banco Popular","2016-05-27T00:00:00.000","9","CREDITOS DE CONSUMO","CREDITOS DE CONSUMO","40","A MAS DE 1825 DIAS","16.4","153326201","4459"
"1","49","Av Villas","2019-08-30T00:00:00.000","12","OTRAS MODALIDADES DE CREDITO","TARJETAS DE CREDITO PERSONAS NATURALES","30","CONS ENT 7 Y 12 M","19.71","4010195.36","5338"
"1","34","Bansuperior","2003-08-22T00:00:00.000","11","CREDITOS COMERCIALES","DE TESORERIA","90","ENTRE 1 Y 5 DIAS","18.35","50000","0"
"1","6","Itaú; Banco Itaú.","2014-10-03T00:00:00.000","11","CREDITOS COMERCIALES","ORDINARIO","30","ENTRE 1096 Y 1825 DIAS","9.77","13703595.72","26"
"1","7","Bancolombia","2013-01-25T00:00:00.000","11","CREDITOS COMERCIALES","PREFERENCIAL O CORPORATIVO","70","ENTRE 1096 Y 1825 DIAS","8.33","112857637.37","5"
"1","14","Helm Bank S.A.","2003-12-05T00:00:00.000","12","OTRAS MODALIDADES DE CREDITO","TARJETAS DE CREDITO PERSONAS NATURALES","20","CONSUMO ENT 2 Y 6 M","28.32","467597.34","0"
"1","13","Bbva Colombia","2010-07-02T00:00:00.000","12","OTRAS MODALIDADES DE CREDITO","TARJETAS DE CREDITO PERSONAS NATURALES","5","AVANCES EFECT","22.66","6387039","0"
"1","44","Megabanco S.A.","2005-01-28T00:00:00.000","12","OTRAS MODALIDADES DE CREDITO","TARJETAS DE CREDITO EMPRESARIALES","60","AVANCES EFECTIVO","26.23","330","0"
"4","23","Serfinansa","2015-06-19T00:00:00.000","12","OTRAS MODALIDADES DE CREDITO","TARJETAS DE CREDITO EMPRESARIALES","80","CONSUMOS ENTRE 2 Y 6 M","28.64","7328.88","16"
"1","43","Banagrario","2006-03-10T00:00:00.000","12","OTRAS MODALIDADES DE CREDITO","TARJETAS DE CREDITO EMPRESARIALES","60","AVANCES EFECTIVO","25.64","17235","0"
"1","6","Itaú; Banco Itaú.","2019-11-01T00:00:00.000","11","CREDITOS COMERCIALES","DE TESORERIA","100","ENTRE 6 Y 14 DIAS","10.89","29722453.08","10"
"1","13","Bbva Colombia","2020-05-29T00:00:00.000","11","CREDITOS COMERCIALES","PREFERENCIAL O CORPORATIVO","70","ENTRE 1096 Y 1825 DIAS","9.01","57430000","4"
"1","2","Banco Popular","2018-09-07T00:00:00.000","8","CREDITOS DE VIVIENDA","CREDITOS DE VIVIENDA ADQUISICIÓN","12","ADQ VIVIENDA DIFERENTE VIS (PESOS)","9.5","1000323","11"
"1","42","Banco Colpatria, ""Scotiabank""","2006-01-20T00:00:00.000","11","CREDITOS COMERCIALES","PREFERENCIAL O CORPORATIVO","70","ENTRE 1096 Y 1825 DIAS","11.51","4937217","0"
"1","7","Bancolombia","2011-10-14T00:00:00.000","11","CREDITOS COMERCIALES","ORDINARIO","40","A MAS DE 1825 DIAS","10.76","11263326.76","46"
"1","42","Banco Colpatria, ""Scotiabank""","2017-12-15T00:00:00.000","11","CREDITOS COMERCIALES","ORDINARIO","40","A MAS DE 1825 DIAS","16.05","706851","8"
"1","12","Banco Gnb Sudameris","2015-12-04T00:00:00.000","12","OTRAS MODALIDADES DE CREDITO","TARJETAS DE CREDITO EMPRESARIALES","80","CONSUMOS ENTRE 2 Y 6 M","28.32","65341","103"
"32","1","Cooperativa Financiera De Antioquia","2016-01-22T00:00:00.000","9","CREDITOS DE CONSUMO","CREDITOS DE CONSUMO","20","ENTRE 366 Y 1095 DIAS","20.66","266020","146"
"1","49","Av Villas","2016-10-28T00:00:00.000","11","CREDITOS COMERCIALES","ORDINARIO","40","A MAS DE 1825 DIAS","15.08","4773525.65","78"
"1","7","Bancolombia","2016-10-21T00:00:00.000","12","OTRAS MODALIDADES DE CREDITO","TARJETAS DE CREDITO EMPRESARIALES","70","CONSUMOS 1 MES","0","24104928","69390"
"1","42","Banco Colpatria, ""Scotiabank""","2017-11-03T00:00:00.000","12","OTRAS MODALIDADES DE CREDITO","TARJETAS DE CREDITO EMPRESARIALES","110","CONSUMOS MAS 18 MESES","31.54","487931","1646"
"1","30","Banco Caja Social","2014-04-04T00:00:00.000","11","CREDITOS COMERCIALES","ORDINARIO","20","ENTRE 366 Y 1095 DIAS","13.45","6901191.46","139"
"1","1","Banco De Bogota","2020-04-03T00:00:00.000","12","OTRAS MODALIDADES DE CREDITO","TARJETAS DE CREDITO PERSONAS NATURALES","5","AVANCES EFECT","27.23","9742819","19501"
"1","30","Banco Caja Social","2006-02-17T00:00:00.000","12","OTRAS MODALIDADES DE CREDITO","TARJETAS DE CREDITO PERSONAS NATURALES","30","CONS ENT 7 Y 12 M","26.23","1519831","0"
"1","53","Banco W S.A.","2015-03-27T00:00:00.000","10","MICROCREDITOS","DIFERENTE  DE LEASING","50","ENTRE 31 Y 365 DIAS","41.23","1037052.56","644"
"1","42","Banco Colpatria, ""Scotiabank""","2019-05-24T00:00:00.000","11","CREDITOS COMERCIALES","ORDINARIO","40","A MAS DE 1825 DIAS","14.23","1149578","11"
"1","1","Banco De Bogota","2017-09-15T00:00:00.000","9","CREDITOS DE CONSUMO","CREDITOS DE CONSUMO","30","ENTRE 1096 Y 1825","21.96","12595572","869"
"1","57","Banco Pichincha S.A.","2020-02-14T00:00:00.000","12","OTRAS MODALIDADES DE CREDITO","TARJETAS DE CREDITO EMPRESARIALES","80","CONSUMOS ENTRE 2 Y 6 M","27.49","26430","26"
"1","13","Bbva Colombia","2012-11-23T00:00:00.000","14","DEPOSITOS Y CUENTAS DE AHORRO","DEPOSITOS Y CUENTAS DE AHORRO","30","CTAS AHORRO ESPECIALES EN PESOS","3.82","87701","0"
"1","22","Banco Union Colombiano","2004-11-26T00:00:00.000","12","OTRAS MODALIDADES DE CREDITO","TARJETAS DE CREDITO EMPRESARIALES","70","CONSUMOS 1 MES","0","239322.15","0"
"1","14","Helm Bank S.A.","2006-12-29T00:00:00.000","12","OTRAS MODALIDADES DE CREDITO","DESCUBIERTOS EN CUENTA CORRIENTE BANCARIA","120","SOBREGIROS","22.61","18282826.93","0"
"1","1","Banco De Bogota","2020-12-18T00:00:00.000","11","CREDITOS COMERCIALES","PREFERENCIAL O CORPORATIVO","50","ENTRE 31 Y 365 DIAS","4.61","149597348","43"
"1","49","Av Villas","2019-12-06T00:00:00.000","8","CREDITOS DE VIVIENDA","CREDITOS DE VIVIENDA ADQUISICIÓN","15","ADQ VIVIENDA DIFERENTE VIS (UVR)","9.15","53400","1"
"1","43","Banagrario","2013-05-17T00:00:00.000","12","OTRAS MODALIDADES DE CREDITO","TARJETAS DE CREDITO EMPRESARIALES","90","CONSUMOS ENTRE 7 Y 12 M","28.92","3000","2"
"1","12","Banco Gnb Sudameris","2013-08-30T00:00:00.000","12","OTRAS MODALIDADES DE CREDITO","TARJETAS DE CREDITO PERSONAS NATURALES","10","CONSUMO 1 MES","0","350820","2203"
"4","116","La Polar S.A. Compañia De Financiamiento","2011-07-22T00:00:00.000","12","OTRAS MODALIDADES DE CREDITO","TARJETAS DE CREDITO PERSONAS NATURALES","10","CONSUMO 1 MES","0","19774.8","215"
"32","1","Cooperativa Financiera De Antioquia","2016-08-05T00:00:00.000","9","CREDITOS DE CONSUMO","CREDITOS DE CONSUMO","20","ENTRE 366 Y 1095 DIAS","22.59","360398","177"
"1","23","Banco De Occidente","2020-07-17T00:00:00.000","11","CREDITOS COMERCIALES","ORDINARIO","20","ENTRE 366 Y 1095 DIAS","7.03","49547674","93"
"1","7","Bancolombia","2020-10-30T00:00:00.000","16","CREDITOS A TRAVES DE LIBRANZA","CREDITOS A TRAVES DE LIBRANZA","20","OTROS","10.94","42538117.25","1177"
"4","121","Financiera Juriscoop C.F.","2016-10-21T00:00:00.000","12","OTRAS MODALIDADES DE CREDITO","TARJETAS DE CREDITO PERSONAS NATURALES","50","CONSUMO MAS 18 M","28.58","241365","736"
"1","30","Banco Caja Social","2013-06-21T00:00:00.000","9","CREDITOS DE CONSUMO","CREDITOS DE CONSUMO","20","ENTRE 366 Y 1095 DIAS","26.45","4726038.59","1439"
"1","6","Itaú; Banco Itaú.","2015-05-15T00:00:00.000","12","OTRAS MODALIDADES DE CREDITO","TARJETAS DE CREDITO PERSONAS NATURALES","30","CONS ENT 7 Y 12 M","25.99","2831386.6","8192"
"1","55","Finandina Bic O Banco Finandina Bic","2018-05-04T00:00:00.000","11","CREDITOS COMERCIALES","ORDINARIO","10","ENTRE 31 Y 365 DIAS","17.83","990136.74","9"
"1","44","Megabanco S.A.","2002-11-08T00:00:00.000","12","OTRAS MODALIDADES DE CREDITO","TARJETAS DE CREDITO EMPRESARIALES","110","CONSUMOS MAS 18 MESES","29.38","3313.65","0"
"1","43","Banagrario","2009-05-22T00:00:00.000","8","CREDITOS DE VIVIENDA","CREDITOS DE VIVIENDA CONSTRUCCION","10","CONSTRUCCION VIVIENDA VIS (UVR)","9","4600","0"
"1","57","Banco Pichincha S.A.","2012-05-04T00:00:00.000","9","CREDITOS DE CONSUMO","CREDITOS DE CONSUMO","10","ENTRE 31 Y 365 DIAS","29.7","2124052.19","1321"
"1","43","Banagrario","2015-07-31T00:00:00.000","11","CREDITOS COMERCIALES","ORDINARIO","20","ENTRE 366 Y 1095 DIAS","12.24","4696448","186"
"1","42","Banco Colpatria, ""Scotiabank""","2019-06-21T00:00:00.000","11","CREDITOS COMERCIALES","PREFERENCIAL O CORPORATIVO","60","ENTRE 366 Y 1095 DIAS","8.78","360000","3"
"1","10","Banco Gnb","2010-01-08T00:00:00.000","12","OTRAS MODALIDADES DE CREDITO","TARJETAS DE CREDITO EMPRESARIALES","80","CONSUMOS ENTRE 2 Y 6 M","24.01","1649","0"
"4","46","Coltefinanciera","2015-01-23T00:00:00.000","9","CREDITOS DE CONSUMO","CREDITOS DE CONSUMO","10","ENTRE 31 Y 365 DIAS","18.42","8720","2"
"1","57","Banco Pichincha S.A.","2014-09-05T00:00:00.000","12","OTRAS MODALIDADES DE CREDITO","TARJETAS DE CREDITO PERSONAS NATURALES","10","CONSUMO 1 MES","28.92","116969","698"
"1","9","Citibank","2012-05-18T00:00:00.000","12","OTRAS MODALIDADES DE CREDITO","TARJETAS DE CREDITO PERSONAS NATURALES","40","CONS ENT 13 Y 18 M","30.55","3252171.24","1337"
"1","50","Granbanco S.A.","2007-06-08T00:00:00.000","9","CREDITOS DE CONSUMO","CREDITOS DE CONSUMO","20","ENTRE 366 Y 1095 DIAS","21.7","96100","0"
"1","54","Bancoomeva","2011-05-06T00:00:00.000","12","OTRAS MODALIDADES DE CREDITO","TARJETAS DE CREDITO PERSONAS NATURALES","30","CONS ENT 7 Y 12 M","20.67","4607.3","23"
"1","57","Banco Pichincha S.A.","2021-02-12T00:00:00.000","12","OTRAS MODALIDADES DE CREDITO","TARJETAS DE CREDITO EMPRESARIALES","110","CONSUMOS MAS 18 MESES","24.5","19403","76"
"1","56","Banco Falabella S.A.","2022-04-01T00:00:00.000","12","OTRAS MODALIDADES DE CREDITO","TARJETAS DE CREDITO PERSONAS NATURALES","20","CONSUMO ENT 2 Y 6 M","27.76","42568918","156288"
"4","8","Giros & Finanzas C.F.","2019-02-15T00:00:00.000","9","CREDITOS DE CONSUMO","CREDITOS DE CONSUMO","10","ENTRE 31 Y 365 DIAS","29.25","1026957.73","1216"
"1","54","Bancoomeva","2019-05-31T00:00:00.000","16","CREDITOS A TRAVES DE LIBRANZA","CREDITOS A TRAVES DE LIBRANZA","20","OTROS","14.04","5142749.3","260"
"1","63","Banco Serfinanza S.A.","2022-02-04T00:00:00.000","12","OTRAS MODALIDADES DE CREDITO","TARJETAS DE CREDITO EMPRESARIALES","60","AVANCES EFECTIVO","12.68","800","1"
"1","43","Banagrario","2019-04-19T00:00:00.000","10","MICROCREDITOS","DIFERENTE  DE LEASING","80","A MAS DE 1825 DIAS","21.93","171094","21"
"1","30","Banco Caja Social","2021-08-20T00:00:00.000","9","CREDITOS DE CONSUMO","CREDITOS DE CONSUMO","20","ENTRE 366 Y 1095 DIAS","21.25","4543715.34","978"
"1","6","Itaú; Banco Itaú.","2008-12-12T00:00:00.000","11","CREDITOS COMERCIALES","DE TESORERIA","110","ENTRE 15 Y 30 DIAS","14.33","14813645","0"
"1","39","Banco Davivienda","2021-09-17T00:00:00.000","16","CREDITOS A TRAVES DE LIBRANZA","CREDITOS A TRAVES DE LIBRANZA","55","ADQUIS DE VIVIEN VIS (COLOCACI EN PESOS)","9.2","172384","2"
"1","6","Itaú; Banco Itaú.","2014-10-03T00:00:00.000","11","CREDITOS COMERCIALES","PREFERENCIAL O CORPORATIVO","50","ENTRE 31 Y 365 DIAS","7.87","118516169.78","614"
"1","44","Megabanco S.A.","2005-12-02T00:00:00.000","12","OTRAS MODALIDADES DE CREDITO","TARJETAS DE CREDITO PERSONAS NATURALES","20","CONSUMO ENT 2 Y 6 M","26.24","562886.15","0"
"1","39","Banco Davivienda","2022-04-22T00:00:00.000","12","OTRAS MODALIDADES DE CREDITO","TARJETAS DE CREDITO PERSONAS NATURALES","40","CONS ENT 13 Y 18 M","20.51","2554323.31","4026"
"1","55","Finandina Bic O Banco Finandina Bic","2019-03-08T00:00:00.000","9","CREDITOS DE CONSUMO","CREDITOS DE CONSUMO","30","ENTRE 1096 Y 1825","20.07","11016433.06","345"
"1","5","Banco Cafetero S.A. En Liquidación","2004-12-17T00:00:00.000","9","CREDITOS DE CONSUMO","CREDITOS DE CONSUMO","20","ENTRE 366 Y 1095 DIAS","26.21","717107","0"
"1","14","Helm Bank S.A.","2011-07-15T00:00:00.000","12","OTRAS MODALIDADES DE CREDITO","TARJETAS DE CREDITO EMPRESARIALES","90","CONSUMOS ENTRE 7 Y 12 M","27.93","250797.13","1541"
"1","9","Citibank","2016-02-26T00:00:00.000","12","OTRAS MODALIDADES DE CREDITO","TARJETAS DE CREDITO EMPRESARIALES","80","CONSUMOS ENTRE 2 Y 6 M","25.14","32476.6","48"
"1","22","Banco Union Colombiano","2003-04-04T00:00:00.000","12","OTRAS MODALIDADES DE CREDITO","DESCUBIERTOS EN CUENTA CORRIENTE BANCARIA","120","SOBREGIROS","26.07","4115990","0"
"1","5","Banco Cafetero S.A. En Liquidación","2003-01-10T00:00:00.000","9","CREDITOS DE CONSUMO","CREDITOS DE CONSUMO","20","ENTRE 366 Y 1095 DIAS","27.43","57100","0"
"1","49","Av Villas","2003-07-11T00:00:00.000","12","OTRAS MODALIDADES DE CREDITO","TARJETAS DE CREDITO PERSONAS NATURALES","10","CONSUMO 1 MES","0","84847.71","0"
"1","13","Bbva Colombia","2005-07-22T00:00:00.000","12","OTRAS MODALIDADES DE CREDITO","TARJETAS DE CREDITO EMPRESARIALES","60","AVANCES EFECTIVO","27.6","1877871","0"
"1","39","Banco Davivienda","2011-03-11T00:00:00.000","9","CREDITOS DE CONSUMO","CREDITOS DE CONSUMO","40","A MAS DE 1825 DIAS","18.8","9650774.05","565"
"4","13","Inversora Pichincha S.A. Compañía De Financiamiento","2004-05-07T00:00:00.000","9","CREDITOS DE CONSUMO","CREDITOS DE CONSUMO","30","ENTRE 1096 Y 1825","25.86","955820","0"
"1","42","Banco Colpatria, ""Scotiabank""","2012-03-30T00:00:00.000","9","CREDITOS DE CONSUMO","CREDITOS DE CONSUMO","20","ENTRE 366 Y 1095 DIAS","23.95","14479836","9266"
"1","55","Finandina Bic O Banco Finandina Bic","2014-07-04T00:00:00.000","12","OTRAS MODALIDADES DE CREDITO","TARJETAS DE CREDITO PERSONAS NATURALES","5","AVANCES EFECT","26.44","243121","821"
"1","6","Itaú; Banco Itaú.","2022-04-08T00:00:00.000","12","OTRAS MODALIDADES DE CREDITO","TARJETAS DE CREDITO EMPRESARIALES","90","CONSUMOS ENTRE 7 Y 12 M","28.54","10255.65","16"
"1","39","Banco Davivienda","2007-11-09T00:00:00.000","12","OTRAS MODALIDADES DE CREDITO","DESCUBIERTOS EN CUENTA CORRIENTE BANCARIA","120","SOBREGIROS","31.37","324329469.75","0"
"1","7","Bancolombia","2015-04-03T00:00:00.000","12","OTRAS MODALIDADES DE CREDITO","TARJETAS DE CREDITO PERSONAS NATURALES","5","AVANCES EFECT","28.71","39401739","123508"
"4","118","Crezcamos S.A.","2017-04-21T00:00:00.000","10","MICROCREDITOS","DIFERENTE  DE LEASING","50","ENTRE 31 Y 365 DIAS","53.04","49600","42"
"1","14","Helm Bank S.A.","2013-03-29T00:00:00.000","11","CREDITOS COMERCIALES","ORDINARIO","10","ENTRE 31 Y 365 DIAS","10.12","36750825.03","82"
"32","6","Coomeva Cooperativa Financiera Sigla Coomeva Financiera","2009-12-18T00:00:00.000","9","CREDITOS DE CONSUMO","CREDITOS DE CONSUMO","40","A MAS DE 1825 DIAS","17.89","1851408.13","0"
"1","7","Bancolombia","2015-11-27T00:00:00.000","8","CREDITOS DE VIVIENDA","CREDITOS DE VIVIENDA ADQUISICIÓN","20","ADQ VIVIENDA VIS (UVR)","9.05","2780439.61","63"
"1","7","Bancolombia","2018-03-09T00:00:00.000","10","MICROCREDITOS","DIFERENTE  DE LEASING","60","ENTRE 366 Y 1095 DIAS","28.47","5515526.95","257"
"1","39","Banco Davivienda","2017-02-17T00:00:00.000","11","CREDITOS COMERCIALES","PREFERENCIAL O CORPORATIVO","70","ENTRE 1096 Y 1825 DIAS","9.98","5137668.03","3"
"1","57","Banco Pichincha S.A.","2021-03-19T00:00:00.000","12","OTRAS MODALIDADES DE CREDITO","TARJETAS DE CREDITO EMPRESARIALES","110","CONSUMOS MAS 18 MESES","24.5","31728","37"
"1","49","Av Villas","2020-01-17T00:00:00.000","11","CREDITOS COMERCIALES","ORDINARIO","30","ENTRE 1096 Y 1825 DIAS","8.69","715000","4"
"1","13","Bbva Colombia","2022-06-03T00:00:00.000","8","CREDITOS DE VIVIENDA","CREDITOS DE VIVIENDA CONSTRUCCION","9","CONSTRUCCION VIVIENDA VIS (PESOS)","10.3","1500000","2"
"1","43","Banagrario","2013-08-23T00:00:00.000","12","OTRAS MODALIDADES DE CREDITO","TARJETAS DE CREDITO EMPRESARIALES","80","CONSUMOS ENTRE 2 Y 6 M","28.92","3737","15"
"4","102","Financiera Compartir S.A. Compañía De Financiamiento","2008-10-10T00:00:00.000","10","MICROCREDITOS","DIFERENTE  DE LEASING","50","ENTRE 31 Y 365 DIAS","33.92","170078","0"
"1","5","Banco Cafetero S.A. En Liquidación","2003-10-17T00:00:00.000","11","CREDITOS COMERCIALES","DE TESORERIA","100","ENTRE 6 Y 14 DIAS","9.37","4751800","0"
"1","52","Bancamía S.A.","2011-05-27T00:00:00.000","10","MICROCREDITOS","DIFERENTE  DE LEASING","60","ENTRE 366 Y 1095 DIAS","38.73","15079689","5141"
"1","7","Bancolombia","2007-05-11T00:00:00.000","12","OTRAS MODALIDADES DE CREDITO","TARJETAS DE CREDITO EMPRESARIALES","60","AVANCES EFECTIVO","20.85","2044137","0"
"1","39","Banco Davivienda","2020-12-18T00:00:00.000","12","OTRAS MODALIDADES DE CREDITO","TARJETAS DE CREDITO PERSONAS NATURALES","50","CONSUMO MAS 18 M","21.21","49241680.78","127048"
"1","48","Banco Aliadas S.A.","2003-04-18T00:00:00.000","12","OTRAS MODALIDADES DE CREDITO","TARJETAS DE CREDITO PERSONAS NATURALES","5","AVANCES EFECT","29.69","34493","0"
"4","46","Coltefinanciera","2009-07-10T00:00:00.000","11","CREDITOS COMERCIALES","ORDINARIO","10","ENTRE 31 Y 365 DIAS","15.85","7239242","0"
"1","30","Banco Caja Social","2018-06-08T00:00:00.000","12","OTRAS MODALIDADES DE CREDITO","TARJETAS DE CREDITO EMPRESARIALES","110","CONSUMOS MAS 18 MESES","29.08","75805.81","124"
"1","23","Banco De Occidente","2007-07-13T00:00:00.000","12","OTRAS MODALIDADES DE CREDITO","TARJETAS DE CREDITO EMPRESARIALES","90","CONSUMOS ENTRE 7 Y 12 M","10.27","321201","0"
"1","39","Banco Davivienda","2005-07-15T00:00:00.000","11","CREDITOS COMERCIALES","DE TESORERIA","110","ENTRE 15 Y 30 DIAS","7.62","34841691.42","0"
"1","1","Banco De Bogota","2009-02-06T00:00:00.000","11","CREDITOS COMERCIALES","PREFERENCIAL O CORPORATIVO","50","ENTRE 31 Y 365 DIAS","14.72","320264853","0"
"1","2","Banco Popular","2016-06-03T00:00:00.000","12","OTRAS MODALIDADES DE CREDITO","TARJETAS DE CREDITO EMPRESARIALES","90","CONSUMOS ENTRE 7 Y 12 M","30.31","48255","92"
"1","53","Banco W S.A.","2018-11-02T00:00:00.000","16","CREDITOS A TRAVES DE LIBRANZA","CREDITOS A TRAVES DE LIBRANZA","20","OTROS","16.16","3075089.3","69"
"4","26","Tuya","2012-01-27T00:00:00.000","12","OTRAS MODALIDADES DE CREDITO","TARJETAS DE CREDITO PERSONAS NATURALES","50","CONSUMO MAS 18 M","29.53","3912688.1","9796"
"32","3","Coofinep Cooperativa Financiera","2006-08-25T00:00:00.000","9","CREDITOS DE CONSUMO","CREDITOS DE CONSUMO","20","ENTRE 366 Y 1095 DIAS","21.9","303074","0"
"4","26","Tuya","2014-08-08T00:00:00.000","12","OTRAS MODALIDADES DE CREDITO","TARJETAS DE CREDITO PERSONAS NATURALES","20","CONSUMO ENT 2 Y 6 M","28.67","10873864.44","73598"
"4","90","Leasing De Occidente S.A. Compañía De Financiamiento","2009-11-27T00:00:00.000","11","CREDITOS COMERCIALES","ORDINARIO","10","ENTRE 31 Y 365 DIAS","10.84","7681146","0"
"1","2","Banco Popular","2011-09-30T00:00:00.000","10","MICROCREDITOS","DIFERENTE  DE LEASING","70","ENTRE 1096 Y 1825 DIAS","40","8900","1"
"1","43","Banagrario","2010-08-13T00:00:00.000","12","OTRAS MODALIDADES DE CREDITO","TARJETAS DE CREDITO PERSONAS NATURALES","40","CONS ENT 13 Y 18 M","22.28","32702","0"
"1","9","Citibank","2013-10-04T00:00:00.000","12","OTRAS MODALIDADES DE CREDITO","TARJETAS DE CREDITO PERSONAS NATURALES","50","CONSUMO MAS 18 M","26.26","41567621.19","135614"
"1","14","Helm Bank S.A.","2008-11-21T00:00:00.000","12","OTRAS MODALIDADES DE CREDITO","TARJETAS DE CREDITO EMPRESARIALES","110","CONSUMOS MAS 18 MESES","30.6","615614.83","0"
"1","1","Banco De Bogota","2021-06-11T00:00:00.000","12","OTRAS MODALIDADES DE CREDITO","TARJETAS DE CREDITO PERSONAS NATURALES","5","AVANCES EFECT","25.66","15379386","33574"
"32","5","Confiar Cooperativa Financiera","2018-02-16T00:00:00.000","9","CREDITOS DE CONSUMO","CREDITOS DE CONSUMO","40","A MAS DE 1825 DIAS","15.7","87878.97","2"
"32","2","Jfk Cooperativa Financiera","2021-01-01T00:00:00.000","10","MICROCREDITOS","DIFERENTE  DE LEASING","50","ENTRE 31 Y 365 DIAS","10.03","1308","1"
"1","56","Banco Falabella S.A.","2018-04-06T00:00:00.000","9","CREDITOS DE CONSUMO","CREDITOS DE CONSUMO","30","ENTRE 1096 Y 1825","21.68","11869089","1356"
"4","46","Coltefinanciera","2002-07-26T00:00:00.000","11","CREDITOS COMERCIALES","DE TESORERIA","110","ENTRE 15 Y 30 DIAS","18.52","1070997","0"
"1","49","Av Villas","2006-03-17T00:00:00.000","9","CREDITOS DE CONSUMO","CREDITOS DE CONSUMO","20","ENTRE 366 Y 1095 DIAS","25.22","7762445.87","0"
"1","23","Banco De Occidente","2010-03-12T00:00:00.000","12","OTRAS MODALIDADES DE CREDITO","TARJETAS DE CREDITO PERSONAS NATURALES","5","AVANCES EFECT","23.73","5096906","0"
"1","42","Banco Colpatria, ""Scotiabank""","2007-11-02T00:00:00.000","12","OTRAS MODALIDADES DE CREDITO","TARJETAS DE CREDITO PERSONAS NATURALES","40","CONS ENT 13 Y 18 M","28.32","453274","0"
"4","33","Internacional","2003-04-18T00:00:00.000","9","CREDITOS DE CONSUMO","CREDITOS DE CONSUMO","20","ENTRE 366 Y 1095 DIAS","22.99","258858","0"
"4","8","Giros & Finanzas C.F.","2005-09-16T00:00:00.000","9","CREDITOS DE CONSUMO","CREDITOS DE CONSUMO","20","ENTRE 366 Y 1095 DIAS","20.57","692214.36","0"
"1","54","Bancoomeva","2018-12-14T00:00:00.000","11","CREDITOS COMERCIALES","ORDINARIO","10","ENTRE 31 Y 365 DIAS","11.76","969700","4"
"1","39","Banco Davivienda","2021-05-14T00:00:00.000","16","CREDITOS A TRAVES DE LIBRANZA","CREDITOS A TRAVES DE LIBRANZA","45","ADQUIS DE VIVI DIF VIS (COLOCA EN PESOS)","8.9","985950","6"
"1","1","Banco De Bogota","2005-02-25T00:00:00.000","11","CREDITOS COMERCIALES","ORDINARIO","5","ENTRE 1 Y 30 DIAS","19.16","916659","0"
"1","6","Itaú; Banco Itaú.","2008-11-21T00:00:00.000","11","CREDITOS COMERCIALES","ORDINARIO","20","ENTRE 366 Y 1095 DIAS","20.38","5345344","0"
"1","23","Banco De Occidente","2011-11-11T00:00:00.000","9","CREDITOS DE CONSUMO","CREDITOS DE CONSUMO","40","A MAS DE 1825 DIAS","15.57","5231865","200"
"1","61","Multibank","2017-06-23T00:00:00.000","11","CREDITOS COMERCIALES","ORDINARIO","5","ENTRE 1 Y 30 DIAS","11.71","40223.6","1"
"1","45","Banco Granahorrar","2004-10-08T00:00:00.000","15","CERTIFICADOS AHORRO VLOR REAL (CAVR)","CERTIFICADOS AHORRO VLOR REAL (CAVR)","10","CAVR < 6 MESES","5.5","469506.02","0"
"1","30","Banco Caja Social","2012-10-26T00:00:00.000","10","MICROCREDITOS","DIFERENTE  DE LEASING","70","ENTRE 1096 Y 1825 DIAS","18.01","34000","1"
"1","42","Banco Colpatria, ""Scotiabank""","2013-04-05T00:00:00.000","8","CREDITOS DE VIVIENDA","CREDITOS DE VIVIENDA CONSTRUCCION","8","CONSTRUCCION VIVIENDA DIF VIS (UVR)","8.29","359000","1"
"1","1","Banco De Bogota","2018-06-29T00:00:00.000","10","MICROCREDITOS","DIFERENTE  DE LEASING","80","A MAS DE 1825 DIAS","31.09","140249","9"
"1","42","Banco Colpatria, ""Scotiabank""","2003-11-14T00:00:00.000","12","OTRAS MODALIDADES DE CREDITO","TARJETAS DE CREDITO PERSONAS NATURALES","10","CONSUMO 1 MES","0","1545118","0"
"1","53","Banco W S.A.","2022-03-25T00:00:00.000","9","CREDITOS DE CONSUMO","CREDITOS DE CONSUMO","40","A MAS DE 1825 DIAS","14.08","1224360.95","34"
